,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
14,11/20/21,17:30,Premier League,Matchweek 12,Sat,Away,L,0,4,Liverpool,0.4,4.3,38,53092,Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,,5,3,19.9,0,0,0,2021,Arsenal
15,11/27/21,12:30,Premier League,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,2.5,0.3,66,59886,Pierre-Emerick Aubameyang,4-4-1-1,Stuart Attwell,Match Report,,24,6,17.8,1,0,0,2021,Arsenal
16,12/2/21,20:15,Premier League,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,1.4,1.9,56,73123,Pierre-Emerick Aubameyang,4-4-1-1,Martin Atkinson,Match Report,,17,7,16.5,1,0,0,2021,Arsenal
17,12/6/21,20:00,Premier League,Matchweek 15,Mon,Away,L,1,2,Everton,1,0.9,63,38906,Alexandre Lacazette,4-2-3-1,Mike Dean,Match Report,,10,3,16.1,0,0,0,2021,Arsenal
18,12/11/21,15:00,Premier League,Matchweek 16,Sat,Home,W,3,0,Southampton,1.8,0.6,61,59653,Alexandre Lacazette,4-4-1-1,Jarred Gillett,Match Report,,15,5,15.7,0,0,0,2021,Arsenal
19,12/15/21,20:00,Premier League,Matchweek 17,Wed,Home,W,2,0,West Ham,2.8,0.4,55,59777,Alexandre Lacazette,4-4-1-1,Anthony Taylor,Match Report,,20,7,19.6,2,0,1,2021,Arsenal
20,12/18/21,17:30,Premier League,Matchweek 18,Sat,Away,W,4,1,Leeds United,3.5,1.6,49,36166,Alexandre Lacazette,4-2-3-1,Andre Marriner,Match Report,,21,12,16.7,0,0,0,2021,Arsenal
22,12/26/21,15:00,Premier League,Matchweek 19,Sun,Away,W,5,0,Norwich City,2.5,0.1,64,26940,Alexandre Lacazette,4-2-3-1,Graham Scott,Match Report,,15,5,17.7,1,1,1,2021,Arsenal
23,1/1/22,12:30,Premier League,Matchweek 21,Sat,Home,L,1,2,Manchester City,0.8,2,29,59757,Alexandre Lacazette,4-2-3-1,Stuart Attwell,Match Report,,7,2,15.6,0,0,0,2021,Arsenal
27,1/23/22,14:00,Premier League,Matchweek 23,Sun,Home,D,0,0,Burnley,1.2,0.4,75,59255,Alexandre Lacazette,4-1-4-1,David Coote,Match Report,,20,5,18.8,2,0,0,2021,Arsenal
28,2/10/22,19:45,Premier League,Matchweek 24,Thu,Away,W,1,0,Wolves,1.8,0.8,42,31523,Alexandre Lacazette,4-2-3-1,Michael Oliver,Match Report,,12,2,17.2,0,0,0,2021,Arsenal
29,2/19/22,15:00,Premier League,Matchweek 26,Sat,Home,W,2,1,Brentford,1.7,0.6,66,59249,Alexandre Lacazette,4-2-3-1,Jonathan Moss,Match Report,,24,7,16,0,0,0,2021,Arsenal
30,2/24/22,19:45,Premier League,Matchweek 20,Thu,Home,W,2,1,Wolves,3.1,1,56,59888,Alexandre Lacazette,4-2-3-1,Martin Atkinson,Match Report,,26,5,15.6,1,0,0,2021,Arsenal
31,3/6/22,14:00,Premier League,Matchweek 28,Sun,Away,W,3,2,Watford,1,1,56,21142,Alexandre Lacazette,4-2-3-1,Craig Pawson,Match Report,,16,4,17.3,0,0,0,2021,Arsenal
32,3/13/22,16:30,Premier League,Matchweek 29,Sun,Home,W,2,0,Leicester City,2.4,0.4,46,60111,Alexandre Lacazette,4-2-3-1,Anthony Taylor,Match Report,,20,6,16.2,0,1,1,2021,Arsenal
33,3/16/22,20:15,Premier League,Matchweek 27,Wed,Home,L,0,2,Liverpool,0.5,0.8,49,59968,Alexandre Lacazette,4-2-3-1,Andre Marriner,Match Report,,9,2,22.5,0,0,0,2021,Arsenal
34,3/19/22,12:30,Premier League,Matchweek 30,Sat,Away,W,1,0,Aston Villa,1.3,0.5,53,41956,Alexandre Lacazette,4-2-3-1,Andy Madley,Match Report,,10,3,19.5,0,0,0,2021,Arsenal
35,4/4/22,20:00,Premier League,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,0.8,1.5,68,25149,Alexandre Lacazette,4-2-3-1,Paul Tierney,Match Report,,12,3,18.5,0,0,0,2021,Arsenal
36,4/9/22,15:00,Premier League,Matchweek 32,Sat,Home,L,1,2,Brighton,1.9,0.6,64,60112,Alexandre Lacazette,4-2-3-1,David Coote,Match Report,,20,4,16.7,2,0,0,2021,Arsenal
37,4/16/22,15:00,Premier League,Matchweek 33,Sat,Away,L,0,1,Southampton,1.7,0.8,75,31465,Martin Ødegaard,4-2-3-1,Peter Bankes,Match Report,,23,6,18.3,1,0,0,2021,Arsenal
38,4/20/22,19:45,Premier League,Matchweek 25,Wed,Away,W,4,2,Chelsea,2,0.7,33,32249,Martin Ødegaard,4-2-3-1,Jonathan Moss,Match Report,,13,3,19.5,0,1,1,2021,Arsenal
39,4/23/22,12:30,Premier League,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,2.3,1.8,54,60223,Martin Ødegaard,4-2-3-1,Craig Pawson,Match Report,,13,6,19.3,1,1,1,2021,Arsenal
40,5/1/22,16:30,Premier League,Matchweek 35,Sun,Away,W,2,1,West Ham,0.9,0.5,43,59959,Martin Ødegaard,4-2-3-1,Mike Dean,Match Report,,13,7,19.3,0,0,0,2021,Arsenal
41,5/8/22,14:00,Premier League,Matchweek 36,Sun,Home,W,2,1,Leeds United,2,0.3,64,60108,Martin Ødegaard,4-2-3-1,Chris Kavanagh,Match Report,,19,9,14.3,2,0,0,2021,Arsenal
42,5/12/22,19:45,Premier League,Matchweek 22,Thu,Away,L,0,3,Tottenham,0.5,2.7,43,62027,Martin Ødegaard,4/3/03,Paul Tierney,Match Report,,9,5,24,0,0,0,2021,Arsenal
43,5/16/22,20:00,Premier League,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,0.6,1.6,49,52274,Martin Ødegaard,4-2-3-1,Darren England,Match Report,,11,2,21.1,0,0,0,2021,Arsenal
44,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,W,5,1,Everton,4.2,1.1,73,60201,Martin Ødegaard,4-2-3-1,Andre Marriner,Match Report,,25,8,17,1,1,1,2021,Arsenal
0,8/14/21,15:00,Premier League,Matchweek 1,Sat,Away,L,2,3,Watford,1.2,1.2,62,20051,Tyrone Mings,4-2-3-1,Mike Dean,Match Report,,10,1,22.8,1,1,1,2021,Aston Villa
1,8/21/21,15:00,Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,1.2,0.7,47,41964,Tyrone Mings,4/3/03,David Coote,Match Report,,9,1,19.5,0,1,1,2021,Aston Villa
3,8/28/21,15:00,Premier League,Matchweek 3,Sat,Home,D,1,1,Brentford,0.7,0.9,46,42045,Ezri Konsa,4-1-4-1,Peter Bankes,Match Report,,7,5,13.8,0,0,0,2021,Aston Villa
4,9/11/21,17:30,Premier League,Matchweek 4,Sat,Away,L,0,3,Chelsea,1.2,1.3,43,39969,Tyrone Mings,5/3/02,Stuart Attwell,Match Report,,18,6,18.6,0,0,0,2021,Aston Villa
5,9/18/21,17:30,Premier League,Matchweek 5,Sat,Home,W,3,0,Everton,0.8,0.7,55,41888,Tyrone Mings,5/3/02,Craig Pawson,Match Report,,15,3,19.3,1,0,0,2021,Aston Villa
7,9/25/21,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Manchester Utd,1,2.2,41,72922,Tyrone Mings,3/5/02,Mike Dean,Match Report,,7,3,14.1,1,0,0,2021,Aston Villa
8,10/3/21,14:00,Premier League,Matchweek 7,Sun,Away,L,1,2,Tottenham,1.2,1.3,44,53076,Tyrone Mings,3/5/02,Chris Kavanagh,Match Report,,14,3,18,0,0,0,2021,Aston Villa
9,10/16/21,15:00,Premier League,Matchweek 8,Sat,Home,L,2,3,Wolves,1,2,48,41951,Tyrone Mings,3-4-1-2,Michael Oliver,Match Report,,14,5,18,0,0,0,2021,Aston Villa
10,10/22/21,20:00,Premier League,Matchweek 9,Fri,Away,L,1,3,Arsenal,1.4,2.7,47,59496,Tyrone Mings,3-4-1-2,Craig Pawson,Match Report,,10,4,17.2,1,0,0,2021,Aston Villa
11,10/31/21,16:30,Premier League,Matchweek 10,Sun,Home,L,1,4,West Ham,0.7,2.3,43,41874,John McGinn,4/3/03,Chris Kavanagh,Match Report,,9,3,16.4,0,0,0,2021,Aston Villa
12,11/5/21,20:00,Premier League,Matchweek 11,Fri,Away,L,0,1,Southampton,0.6,0.6,44,30178,Tyrone Mings,4-2-3-1,Andy Madley,Match Report,,14,3,19.5,1,0,0,2021,Aston Villa
13,11/20/21,15:00,Premier League,Matchweek 12,Sat,Home,W,2,0,Brighton,0.7,0.4,38,41925,Tyrone Mings,4/3/03,Anthony Taylor,Match Report,,9,5,16.5,0,0,0,2021,Aston Villa
14,11/27/21,15:00,Premier League,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,0.5,1,36,25203,Tyrone Mings,4/3/03,Michael Salisbury,Match Report,,10,3,20.5,2,0,0,2021,Aston Villa
15,12/1/21,20:15,Premier League,Matchweek 14,Wed,Home,L,1,2,Manchester City,0.8,1,36,41400,Tyrone Mings,4/3/03,Mike Dean,Match Report,,9,3,13.1,0,0,0,2021,Aston Villa
16,12/5/21,16:30,Premier League,Matchweek 15,Sun,Home,W,2,1,Leicester City,2.1,1.1,41,41572,Tyrone Mings,4/3/03,Michael Oliver,Match Report,,13,4,13.9,0,0,0,2021,Aston Villa
17,12/11/21,15:00,Premier League,Matchweek 16,Sat,Away,L,0,1,Liverpool,0.2,2.2,38,53093,Tyrone Mings,4/3/03,Stuart Attwell,Match Report,,4,0,23.6,1,0,0,2021,Aston Villa
18,12/14/21,19:45,Premier League,Matchweek 17,Tue,Away,W,2,0,Norwich City,2,0.5,50,26836,Tyrone Mings,4/3/03,David Coote,Match Report,,17,6,16.7,0,0,0,2021,Aston Villa
19,12/26/21,17:30,Premier League,Matchweek 19,Sun,Home,L,1,3,Chelsea,0.4,2.6,42,41907,Tyrone Mings,4-3-1-2,Martin Atkinson,Match Report,,8,1,18.8,0,0,0,2021,Aston Villa
20,1/2/22,14:00,Premier League,Matchweek 21,Sun,Away,L,1,2,Brentford,0.8,0.6,55,16876,John McGinn,4/3/03,Craig Pawson,Match Report,,16,5,17.1,0,0,0,2021,Aston Villa
22,1/15/22,17:30,Premier League,Matchweek 22,Sat,Home,D,2,2,Manchester Utd,1.9,1,54,41968,Tyrone Mings,4/3/03,David Coote,Match Report,,13,9,12.7,0,0,0,2021,Aston Villa
23,1/22/22,12:30,Premier League,Matchweek 23,Sat,Away,W,1,0,Everton,0.8,1.6,50,38203,Tyrone Mings,4/3/03,Craig Pawson,Match Report,,8,3,19.8,2,0,0,2021,Aston Villa
24,2/9/22,20:00,Premier League,Matchweek 24,Wed,Home,D,3,3,Leeds United,1.6,1.8,40,41927,Tyrone Mings,4/3/03,Jarred Gillett,Match Report,,12,4,15.7,0,0,0,2021,Aston Villa
25,2/13/22,14:00,Premier League,Matchweek 25,Sun,Away,L,0,1,Newcastle Utd,0.6,0.5,62,52207,Tyrone Mings,4/3/03,Craig Pawson,Match Report,,11,1,19.9,1,0,0,2021,Aston Villa
26,2/19/22,15:00,Premier League,Matchweek 26,Sat,Home,L,0,1,Watford,1.3,1.2,59,41936,Tyrone Mings,4/3/03,Robert Jones,Match Report,,20,1,21,1,0,0,2021,Aston Villa
27,2/26/22,15:00,Premier League,Matchweek 27,Sat,Away,W,2,0,Brighton,1,0.7,34,31475,Tyrone Mings,4-1-2-1-2◆,John Brooks,Match Report,,9,4,17.5,1,0,0,2021,Aston Villa
28,3/5/22,15:00,Premier League,Matchweek 28,Sat,Home,W,4,0,Southampton,2.5,1.1,38,41855,Tyrone Mings,4-3-1-2,Peter Bankes,Match Report,,14,9,15.7,0,0,0,2021,Aston Villa
29,3/10/22,19:45,Premier League,Matchweek 20,Thu,Away,W,3,0,Leeds United,1.5,0.2,49,36400,Tyrone Mings,4-3-1-2,Simon Hooper,Match Report,,15,9,19.6,1,0,0,2021,Aston Villa
30,3/13/22,14:00,Premier League,Matchweek 29,Sun,Away,L,1,2,West Ham,1.1,1.2,53,59957,Tyrone Mings,4-1-2-1-2◆,Jarred Gillett,Match Report,,13,7,14.9,1,0,0,2021,Aston Villa
31,3/19/22,12:30,Premier League,Matchweek 30,Sat,Home,L,0,1,Arsenal,0.5,1.3,47,41956,Tyrone Mings,4-3-2-1,Andy Madley,Match Report,,8,1,16.8,2,0,0,2021,Aston Villa
32,4/2/22,15:00,Premier League,Matchweek 31,Sat,Away,L,1,2,Wolves,2.1,1.3,51,31012,Tyrone Mings,4-3-1-2,Darren England,Match Report,,14,4,20,1,1,1,2021,Aston Villa
33,4/9/22,17:30,Premier League,Matchweek 32,Sat,Home,L,0,4,Tottenham,1.6,1.1,52,41949,Tyrone Mings,4-3-1-2,Graham Scott,Match Report,,19,8,16.3,1,0,0,2021,Aston Villa
34,4/23/22,15:00,Premier League,Matchweek 34,Sat,Away,D,0,0,Leicester City,0.9,0.3,36,32185,Tyrone Mings,4-3-2-1,Andy Madley,Match Report,,11,3,17.9,0,0,0,2021,Aston Villa
35,4/30/22,15:00,Premier League,Matchweek 35,Sat,Home,W,2,0,Norwich City,1.8,0.5,45,40290,Tyrone Mings,4-1-4-1,John Brooks,Match Report,,21,6,15.7,0,0,0,2021,Aston Villa
36,5/7/22,15:00,Premier League,Matchweek 36,Sat,Away,W,3,1,Burnley,2.1,1.9,51,20891,Tyrone Mings,4-1-2-1-2◆,David Coote,Match Report,,12,7,18.3,1,0,0,2021,Aston Villa
37,5/10/22,20:00,Premier League,Matchweek 33,Tue,Home,L,1,2,Liverpool,1.4,1.8,40,41919,Tyrone Mings,4-3-1-2,Jonathan Moss,Match Report,,9,4,13.7,0,0,0,2021,Aston Villa
38,5/15/22,14:00,Premier League,Matchweek 37,Sun,Home,D,1,1,Crystal Palace,1,1.4,49,41136,Tyrone Mings,4-3-1-2,Chris Kavanagh,Match Report,,13,4,18.7,0,0,0,2021,Aston Villa
39,5/19/22,20:00,Premier League,Matchweek 18,Thu,Home,D,1,1,Burnley,1.5,1.6,71,40468,Tyrone Mings,4-3-2-1,Paul Tierney,Match Report,,22,9,19.4,0,0,0,2021,Aston Villa
40,5/22/22,16:00,Premier League,Matchweek 38,Sun,Away,L,2,3,Manchester City,0.2,3.4,29,53395,Tyrone Mings,4-3-2-1,Michael Oliver,Match Report,,4,2,16.8,0,0,0,2021,Aston Villa
0,8/13/21,20:00,Premier League,Matchweek 1,Fri,Home,W,2,0,Arsenal,1.2,1.3,36,16479,Pontus Jansson,3/5/02,Michael Oliver,Match Report,,8,3,12.1,0,0,0,2021,Brentford
1,8/21/21,15:00,Premier League,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0.9,0.5,47,23091,Pontus Jansson,3/5/02,Martin Atkinson,Match Report,,14,3,18,1,0,0,2021,Brentford
3,8/28/21,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Aston Villa,0.9,0.7,54,42045,Pontus Jansson,3-4-1-2,Peter Bankes,Match Report,,9,2,15.6,0,0,0,2021,Brentford
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Brighton,0.4,0.3,41,16518,Pontus Jansson,3/5/02,Graham Scott,Match Report,,7,1,20.3,0,0,0,2021,Brentford
5,9/18/21,12:30,Premier League,Matchweek 5,Sat,Away,W,2,0,Wolves,2.5,0.6,38,30000,Pontus Jansson,3/5/02,Darren England,Match Report,,8,2,18.7,0,1,1,2021,Brentford
7,9/25/21,17:30,Premier League,Matchweek 6,Sat,Home,D,3,3,Liverpool,2.1,2.8,33,16876,Pontus Jansson,3/5/02,Stuart Attwell,Match Report,,12,3,12,0,0,0,2021,Brentford
8,10/3/21,14:00,Premier League,Matchweek 7,Sun,Away,W,2,1,West Ham,1.2,1.5,41,49940,Pontus Jansson,3/5/02,Peter Bankes,Match Report,,13,6,13.9,1,0,0,2021,Brentford
9,10/16/21,17:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Chelsea,1.4,0.3,45,16940,Pontus Jansson,3/5/02,Anthony Taylor,Match Report,,17,6,14.5,0,0,0,2021,Brentford
10,10/24/21,14:00,Premier League,Matchweek 9,Sun,Home,L,1,2,Leicester City,1,1.5,54,16814,Pontus Jansson,3/5/02,Simon Hooper,Match Report,,15,5,16.3,0,0,0,2021,Brentford
12,10/30/21,15:00,Premier League,Matchweek 10,Sat,Away,L,1,3,Burnley,0.8,2.3,59,18821,Pontus Jansson,3/5/02,Jonathan Moss,Match Report,,12,4,18.2,1,0,0,2021,Brentford
13,11/6/21,15:00,Premier League,Matchweek 11,Sat,Home,L,1,2,Norwich City,2.5,1.2,64,16837,Pontus Jansson,3/5/02,Jarred Gillett,Match Report,,19,7,10.8,0,0,0,2021,Brentford
14,11/20/21,15:00,Premier League,Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,0.9,1.5,47,52131,Pontus Jansson,3/5/02,Robert Jones,Match Report,,10,3,18.5,1,0,0,2021,Brentford
15,11/28/21,14:00,Premier League,Matchweek 13,Sun,Home,W,1,0,Everton,1.2,1,40,16957,Pontus Jansson,3/5/02,Darren England,Match Report,,5,3,18.9,0,1,1,2021,Brentford
16,12/2/21,19:30,Premier League,Matchweek 14,Thu,Away,L,0,2,Tottenham,0.3,1.9,53,54202,Pontus Jansson,3/5/02,Jonathan Moss,Match Report,,6,2,17.1,0,0,0,2021,Brentford
17,12/5/21,14:00,Premier League,Matchweek 15,Sun,Away,D,2,2,Leeds United,1,1.2,37,35639,Pontus Jansson,3/5/02,David Coote,Match Report,,9,3,16.7,1,0,0,2021,Brentford
18,12/10/21,20:00,Premier League,Matchweek 16,Fri,Home,W,2,1,Watford,1.6,0.5,63,16861,Pontus Jansson,3/5/02,Michael Oliver,Match Report,,13,4,15.5,0,1,1,2021,Brentford
20,12/26/21,20:00,Premier League,Matchweek 19,Sun,Away,L,0,2,Brighton,0.7,0.8,50,30141,Pontus Jansson,3/5/02,Darren England,Match Report,,16,5,17.1,0,0,0,2021,Brentford
21,12/29/21,20:15,Premier League,Matchweek 20,Wed,Home,L,0,1,Manchester City,0.4,1.1,24,17009,Pontus Jansson,3/5/02,David Coote,Match Report,,6,2,24.6,0,0,0,2021,Brentford
22,1/2/22,14:00,Premier League,Matchweek 21,Sun,Home,W,2,1,Aston Villa,0.6,0.8,45,16876,Pontus Jansson,3/5/02,Craig Pawson,Match Report,,10,4,17.7,0,0,0,2021,Brentford
24,1/11/22,19:45,Premier League,Matchweek 18,Tue,Away,L,1,4,Southampton,0.5,1.4,52,27383,Pontus Jansson,3/5/02,Stuart Attwell,Match Report,,5,4,12.8,0,0,0,2021,Brentford
25,1/16/22,14:00,Premier League,Matchweek 22,Sun,Away,L,0,3,Liverpool,0.7,2.7,32,52824,Pontus Jansson,3/5/02,Jonathan Moss,Match Report,,6,1,21.2,0,0,0,2021,Brentford
26,1/19/22,20:00,Premier League,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,2.3,2.3,44,17094,Pontus Jansson,3/5/02,Andre Marriner,Match Report,,18,9,16.7,0,0,0,2021,Brentford
27,1/22/22,15:00,Premier League,Matchweek 23,Sat,Home,L,1,2,Wolves,1.1,0.2,50,16982,Pontus Jansson,3/5/02,Peter Bankes,Match Report,,11,1,13.6,1,0,0,2021,Brentford
29,2/9/22,19:45,Premier League,Matchweek 24,Wed,Away,L,0,2,Manchester City,0.4,1.9,26,51658,Pontus Jansson,3/5/02,Darren England,Match Report,,6,2,18.3,0,0,0,2021,Brentford
30,2/12/22,15:00,Premier League,Matchweek 25,Sat,Home,D,0,0,Crystal Palace,1.6,0.3,42,16958,Pontus Jansson,3/5/02,Simon Hooper,Match Report,,9,2,12.9,0,0,0,2021,Brentford
31,2/19/22,15:00,Premier League,Matchweek 26,Sat,Away,L,1,2,Arsenal,0.6,1.7,34,59249,Pontus Jansson,3/5/02,Jonathan Moss,Match Report,,6,2,20.7,0,0,0,2021,Brentford
32,2/26/22,15:00,Premier League,Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0.4,2.7,37,17039,Pontus Jansson,4/3/03,Mike Dean,Match Report,,6,1,16.5,0,0,0,2021,Brentford
33,3/5/22,15:00,Premier League,Matchweek 28,Sat,Away,W,3,1,Norwich City,2,1,40,26887,Pontus Jansson,4/5/01,Anthony Taylor,Match Report,,8,4,21.4,0,2,2,2021,Brentford
34,3/12/22,15:00,Premier League,Matchweek 29,Sat,Home,W,2,0,Burnley,1.9,0.7,55,17088,Pontus Jansson,4/5/01,Paul Tierney,Match Report,,12,2,21.5,0,1,1,2021,Brentford
35,3/20/22,14:00,Premier League,Matchweek 30,Sun,Away,L,1,2,Leicester City,1.3,1,48,31830,Pontus Jansson,4/5/01,Darren England,Match Report,,15,6,14.9,0,0,0,2021,Brentford
36,4/2/22,15:00,Premier League,Matchweek 31,Sat,Away,W,4,1,Chelsea,1.8,1.3,30,39061,Pontus Jansson,5/3/02,Andy Madley,Match Report,,17,6,13.5,1,0,0,2021,Brentford
37,4/10/22,14:00,Premier League,Matchweek 32,Sun,Home,W,2,0,West Ham,1.4,0.3,47,17032,Christian Nørgaard,4/3/03,Martin Atkinson,Match Report,,15,7,15.8,0,0,0,2021,Brentford
38,4/16/22,15:00,Premier League,Matchweek 33,Sat,Away,W,2,1,Watford,1.9,1.7,50,21045,Pontus Jansson,4/3/03,Simon Hooper,Match Report,,16,5,19.7,0,0,0,2021,Brentford
39,4/23/22,17:30,Premier League,Matchweek 34,Sat,Home,D,0,0,Tottenham,0.9,0.6,44,17072,Pontus Jansson,5/3/02,Martin Atkinson,Match Report,,15,1,15.3,1,0,0,2021,Brentford
40,5/2/22,20:00,Premier League,Matchweek 35,Mon,Away,L,0,3,Manchester Utd,0.6,2,37,73482,Pontus Jansson,5/3/02,Chris Kavanagh,Match Report,,12,4,18.9,1,0,0,2021,Brentford
41,5/7/22,15:00,Premier League,Matchweek 36,Sat,Home,W,3,0,Southampton,2.6,1.4,41,17051,Pontus Jansson,4/3/03,Michael Salisbury,Match Report,,18,5,13.9,1,0,0,2021,Brentford
42,5/15/22,16:30,Premier League,Matchweek 37,Sun,Away,W,3,2,Everton,1.4,2.1,72,38819,Pontus Jansson,4/3/03,Michael Oliver,Match Report,,18,6,18.1,1,0,0,2021,Brentford
43,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,L,1,2,Leeds United,0.8,1.3,49,16957,Pontus Jansson,4/3/03,Paul Tierney,Match Report,,14,5,13.7,0,0,0,2021,Brentford
0,8/14/21,15:00,Premier League,Matchweek 1,Sat,Away,W,2,1,Burnley,1,1.5,63,16910,Lewis Dunk,4-1-4-1,David Coote,Match Report,,14,6,14.9,1,0,0,2021,Brighton and Hove Albion
1,8/21/21,17:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Watford,1.3,0.5,56,29485,Lewis Dunk,4-4-1-1,Anthony Taylor,Match Report,,13,3,16.9,0,0,0,2021,Brighton and Hove Albion
3,8/28/21,15:00,Premier League,Matchweek 3,Sat,Home,L,0,2,Everton,0.7,1.4,65,30548,Lewis Dunk,3/4/03,Jonathan Moss,Match Report,,14,3,22.3,2,0,0,2021,Brighton and Hove Albion
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Brentford,0.3,0.4,59,16518,Lewis Dunk,3-4-1-2,Graham Scott,Match Report,,4,2,19,0,0,0,2021,Brighton and Hove Albion
5,9/19/21,14:00,Premier League,Matchweek 5,Sun,Home,W,2,1,Leicester City,1.7,1.6,37,31078,Lewis Dunk,4/4/02,Stuart Attwell,Match Report,,11,4,16.9,2,1,1,2021,Brighton and Hove Albion
7,9/27/21,20:00,Premier League,Matchweek 6,Mon,Away,D,1,1,Crystal Palace,0.8,1.4,53,22975,Lewis Dunk,3/4/03,Andre Marriner,Match Report,,8,4,15.8,0,0,0,2021,Brighton and Hove Albion
8,10/2/21,17:30,Premier League,Matchweek 7,Sat,Home,D,0,0,Arsenal,1.1,0.4,58,31266,Lewis Dunk,3/5/02,Jonathan Moss,Match Report,,21,2,17.7,0,0,0,2021,Brighton and Hove Albion
9,10/16/21,15:00,Premier League,Matchweek 8,Sat,Away,D,0,0,Norwich City,0.8,1.2,64,26777,Lewis Dunk,3/5/02,Peter Bankes,Match Report,,11,3,16.1,0,0,0,2021,Brighton and Hove Albion
10,10/23/21,17:30,Premier League,Matchweek 9,Sat,Home,L,1,4,Manchester City,1.3,3.8,48,31215,Lewis Dunk,3/5/02,Kevin Friend,Match Report,,9,4,18.9,0,1,1,2021,Brighton and Hove Albion
12,10/30/21,15:00,Premier League,Matchweek 10,Sat,Away,D,2,2,Liverpool,1,1.5,42,52598,Lewis Dunk,4-2-3-1,Mike Dean,Match Report,,9,6,17,0,0,0,2021,Brighton and Hove Albion
